method_id,seed,candidate_reward_evaluations,final_proposal_count,validity,hard_filter_pass_rate,uniqueness,novelty,exported_valid_novel_unique,evaluator_mean_JSR_raw,evaluator_mean_JSR_exported,evaluator_conservative_JSR_raw,evaluator_conservative_JSR_exported,internal_diversity,mean_SA,median_SA,q90_SA,AD_A_fraction,AD_B_fraction,psoralen_rejection_rate,structural_alert_rejection_rate
A1_uv_only_rl,1701,5040,1200,0.9991666666666666,0.91,0.9708090075062552,0.9896907216494846,1055,0.050833333333333335,0.05781990521327014,0.0,0.0,0.8635946022519214,3.0820837274045134,2.9624830948933063,4.467448406263274,0.15355450236966825,0.9772511848341232,0.0,0.0
A1_uv_only_rl,1702,5040,1200,1.0,0.9183333333333333,0.9741666666666666,0.9940119760479041,1070,0.07,0.07850467289719626,0.0,0.0,0.8487593636820958,3.0326481563320593,2.9322879118884613,4.21794916490724,0.16635514018691588,0.9887850467289719,0.0,0.0
A1_uv_only_rl,1703,5040,1200,1.0,0.9083333333333333,0.9916666666666667,0.9949579831932773,1082,0.07416666666666667,0.0822550831792976,0.0,0.0,0.8687700562472672,3.165660324618282,3.0176309205031715,4.561259332258763,0.18114602587800369,0.9759704251386322,0.0,0.0
B0_prior_random,1701,5040,1200,0.9991666666666666,0.4825,0.9749791492910759,0.9923011120615911,579,0.004166666666666667,0.008635578583765112,0.0,0.0,0.9020119578939877,4.411902037770796,4.488237067580995,5.5836052261358144,0.044905008635578586,0.6787564766839378,0.0,0.0
B0_prior_random,1702,5040,1200,1.0,0.485,0.9766666666666667,0.992320819112628,582,0.005833333333333334,0.012027491408934709,0.0,0.0,0.9025023381849833,4.375928742026864,4.391098429386306,5.67041504006942,0.06701030927835051,0.7233676975945017,0.0,0.0
B0_prior_random,1703,5040,1200,0.9983333333333333,0.49583333333333335,0.9732664995822891,0.9939914163090129,595,0.0075,0.015126050420168067,0.0,0.0,0.9036177706552292,4.416227941208659,4.482467312234457,5.62361329531445,0.05546218487394958,0.7025210084033613,0.0,0.0
M1_joint_rl,1701,5040,1200,1.0,0.92,0.9858333333333333,0.9974640743871513,1087,0.06166666666666667,0.06807727690892364,0.0,0.0,0.8695036186618861,3.3964637136963214,3.355211866265213,4.860711403077689,0.1609935602575897,0.968721251149954,0.0,0.0
M1_joint_rl,1702,5040,1200,1.0,0.9291666666666667,0.9707846410684474,0.9931212381771282,1077,0.03833333333333333,0.04271123491179202,0.0,0.0,0.8645838777361478,3.330513286749752,3.305945111682326,4.777099445571969,0.14206128133704735,0.9647168059424327,0.0,0.0
M1_joint_rl,1703,5040,1200,1.0,0.9241666666666667,0.988313856427379,0.9949324324324325,1098,0.07083333333333333,0.07741347905282331,0.0,0.0,0.8601322660609463,3.1805839501953748,3.0507255142991094,4.617996649478074,0.18214936247723132,0.9790528233151184,0.0,0.0
