method_id,seed,step,mean_reward,max_reward,hard_filter_fraction,mean_kl,mean_entropy,archive_size
M1_joint_rl,1701,1,0.08044702559709549,0.2746560573577881,0.5625,0.0,1.161805272102356,36
M1_joint_rl,1701,2,0.07541307806968689,0.2557324171066284,0.515625,0.004131733439862728,1.143637776374817,69
M1_joint_rl,1701,3,0.08407284319400787,0.27174612879753113,0.578125,0.009987386874854565,1.1208603382110596,106
M1_joint_rl,1701,4,0.10238700360059738,0.2739989459514618,0.65625,0.018524378538131714,1.160697102546692,148
M1_joint_rl,1701,5,0.11179399490356445,0.2609029710292816,0.703125,0.02663090080022812,1.1499463319778442,193
M1_joint_rl,1701,6,0.11100280284881592,0.2483624964952469,0.71875,0.03361663967370987,1.145512580871582,239
M1_joint_rl,1701,7,0.11565539240837097,0.27597081661224365,0.703125,0.043714649975299835,1.1137205362319946,284
M1_joint_rl,1701,8,0.10060491412878036,0.28765901923179626,0.640625,0.05902310460805893,1.166000485420227,325
M1_joint_rl,1701,9,0.13380217552185059,0.26898032426834106,0.71875,0.07681702077388763,1.1666662693023682,371
M1_joint_rl,1701,10,0.13805773854255676,0.27136966586112976,0.796875,0.09019947052001953,1.132850170135498,421
M1_joint_rl,1701,11,0.14164040982723236,0.26990681886672974,0.8125,0.10493719577789307,1.1479943990707397,472
M1_joint_rl,1701,12,0.1364089399576187,0.29236388206481934,0.75,0.10072684288024902,1.159134030342102,518
M1_joint_rl,1701,13,0.12366842478513718,0.27701136469841003,0.71875,0.1124764159321785,1.1470657587051392,561
M1_joint_rl,1701,14,0.1109205037355423,0.2709228992462158,0.703125,0.10849829018115997,1.1410577297210693,602
M1_joint_rl,1701,15,0.13968029618263245,0.27868449687957764,0.78125,0.11663008481264114,1.1447033882141113,652
M1_joint_rl,1701,16,0.1422448307275772,0.2897377908229828,0.796875,0.10961969196796417,1.1426886320114136,702
M1_joint_rl,1701,17,0.1298854649066925,0.27571767568588257,0.78125,0.1151159480214119,1.1423734426498413,748
M1_joint_rl,1701,18,0.15476776659488678,0.2619030177593231,0.859375,0.11065728217363358,1.1158645153045654,801
M1_joint_rl,1701,19,0.13734474778175354,0.27646875381469727,0.75,0.10455810278654099,1.111121654510498,849
M1_joint_rl,1701,20,0.1396781951189041,0.2695308327674866,0.84375,0.1059875637292862,1.1146188974380493,901
M1_joint_rl,1701,21,0.14303497970104218,0.2885230779647827,0.890625,0.11069487035274506,1.0939819812774658,953
M1_joint_rl,1701,22,0.13934999704360962,0.26483580470085144,0.84375,0.10533414036035538,1.0739126205444336,1003
M1_joint_rl,1701,23,0.1371515691280365,0.28728607296943665,0.859375,0.10551469027996063,1.0765231847763062,1058
M1_joint_rl,1701,24,0.154755637049675,0.2717106342315674,0.921875,0.10718192160129547,1.0472197532653809,1116
M1_joint_rl,1701,25,0.13066896796226501,0.2536334991455078,0.8125,0.09996381402015686,1.050125002861023,1166
M1_joint_rl,1701,26,0.15014269948005676,0.271802693605423,0.890625,0.10162491351366043,1.0137250423431396,1220
M1_joint_rl,1701,27,0.1552811563014984,0.28512880206108093,0.875,0.1016414612531662,0.9956899881362915,1275
