expert,model_role,estimator,split,n,unit,mae,rmse,r2,conformal_q90,mean_uncertainty,q90_coverage
A_half_life,reward,random_forest,validation,16,log10(hours),0.5342874531123607,0.7342675458179245,-0.238660126877414,1.4188196648857168,0.8625043555536271,0.9375
A_half_life,reward,random_forest,test,15,log10(hours),0.33486584600890446,0.6206918685180869,-0.06770586753127827,1.4188196648857168,0.862504355553627,0.9333333333333333
B_lambda_max,reward,random_forest,validation,1502,nm,44.5475806266523,61.86098556376786,0.7171704069465171,101.13181651531198,61.47830791204375,0.9001331557922769
B_lambda_max,reward,random_forest,test,1410,nm,38.47349912224801,56.5999292400843,0.6833663508496267,101.13181651531198,61.47830791204376,0.9347517730496454
A_half_life,independent_evaluator,extra_trees,validation,16,log10(hours),0.4500538813221604,0.6249116270521947,0.10281769003165675,1.0814004519767657,0.6573862929949943,0.9375
A_half_life,independent_evaluator,extra_trees,test,15,log10(hours),0.4116207977785279,0.5541591646406838,0.14892358104139813,1.0814004519767657,0.6573862929949943,0.9333333333333333
B_lambda_max,independent_evaluator,extra_trees,validation,1502,nm,41.64891396996713,58.64227000703606,0.7458367674467794,98.33552754877473,59.77843619986307,0.9001331557922769
B_lambda_max,independent_evaluator,extra_trees,test,1410,nm,36.16697373391873,54.36802203092041,0.7078456507309778,98.33552754877473,59.778436199863066,0.9368794326241134
