step,azo_reward,stilbene_reward,spiropyran_reward,diarylethene_reward,mean_reward,archive
57,0.1565527468919754,0.1349962055683136,0.0457615852355957,0.0,0.08432763069868088,2151
58,0.16746920347213745,0.1730317622423172,0.027254611253738403,0.0,0.09193889051675797,2213
59,0.1640319973230362,0.14441220462322235,0.035135164856910706,0.0,0.08589484542608261,2270
60,0.1637691706418991,0.14478455483913422,0.035932507365942,0.0,0.08612155169248581,2328
61,0.159582257270813,0.18539822101593018,0.03045942448079586,0.0,0.09385999292135239,2387
62,0.1686682552099228,0.17198222875595093,0.04395650699734688,0.0,0.09615173935890198,2445
63,0.17941789329051971,0.169080451130867,0.03944023326039314,0.0,0.09698464721441269,2506
64,0.15104535222053528,0.12788043916225433,0.04043936729431152,0.0,0.07984129339456558,2555
65,0.16735310852527618,0.17360520362854004,0.03650942072272301,0.0,0.09436693787574768,2616
66,0.17596237361431122,0.19118539988994598,0.03428354486823082,0.0,0.10035783052444458,2680
67,0.16419319808483124,0.17358700931072235,0.0459812693297863,0.0,0.09594035893678665,2741
68,0.17166419327259064,0.12073532491922379,0.043188031762838364,0.0,0.08389689773321152,2799
69,0.15263153612613678,0.1416684240102768,0.05915799364447594,0.0,0.08836448192596436,2854
70,0.18825101852416992,0.14186330139636993,0.03849157318472862,0.0,0.0921514630317688,2917
71,0.2039460688829422,0.21539199352264404,0.036277513951063156,0.0,0.11390390247106552,2993
72,0.18727950751781464,0.2084641009569168,0.039783742278814316,0.0,0.10888183861970901,3062
73,0.18775711953639984,0.19544948637485504,0.03989727422595024,0.0,0.10577597469091415,3130
74,0.1676768660545349,0.2127894163131714,0.038115330040454865,0.0,0.10464540868997574,3195
75,0.18868565559387207,0.19326837360858917,0.04041321203112602,0.0,0.10559181123971939,3260
76,0.19385559856891632,0.21354937553405762,0.04054730385541916,0.0,0.11198806762695312,3328
77,0.18048129975795746,0.22399501502513885,0.047486428171396255,0.004927470814436674,0.11422254890203476,3398
78,0.18071348965168,0.19565312564373016,0.03651674464344978,0.0,0.10322084277868271,3461
79,0.19059276580810547,0.18617214262485504,0.041163936257362366,0.0,0.10448221117258072,3529
80,0.17740102112293243,0.15918989479541779,0.04161975160241127,0.007552564609795809,0.09644079953432083,3589
81,0.17259402573108673,0.20864146947860718,0.03922845050692558,0.0,0.10511598736047745,3656
82,0.18637387454509735,0.1586431860923767,0.039253607392311096,0.0,0.09606766700744629,3721
83,0.18749606609344482,0.21942175924777985,0.04389016702771187,0.0,0.11270200461149216,3789
84,0.20768432319164276,0.12821297347545624,0.035490732640028,0.0,0.09284701198339462,3852
85,0.19446803629398346,0.1832876056432724,0.04302181303501129,0.0,0.10519436746835709,3921
86,0.19039349257946014,0.18614010512828827,0.04162101820111275,0.0073120673187077045,0.10636667162179947,3988
87,0.18574309349060059,0.23587696254253387,0.050226107239723206,0.0,0.11796153336763382,4057
88,0.19761548936367035,0.20484645664691925,0.04847803711891174,0.0,0.11273499578237534,4128
89,0.18118315935134888,0.20566125214099884,0.043613944202661514,0.0,0.10761459916830063,4191
90,0.18233954906463623,0.17804910242557526,0.045436590909957886,0.0,0.10145630687475204,4254
91,0.19825689494609833,0.19423680007457733,0.04197806119918823,0.0,0.10861793905496597,4319
92,0.19069528579711914,0.19256846606731415,0.049347784370183945,0.0,0.10815287381410599,4384
93,0.1928948312997818,0.20091432332992554,0.043656349182128906,0.0,0.10936637967824936,4448
94,0.19172550737857819,0.24810700118541718,0.03535829111933708,0.007725344970822334,0.12072903662919998,4520
95,0.19677691161632538,0.24606259167194366,0.048375774174928665,0.0,0.12280382961034775,4592
96,0.20355038344860077,0.18240658938884735,0.04526698961853981,0.0,0.10780598968267441,4658
97,0.20894365012645721,0.19096525013446808,0.045423611998558044,0.0,0.11133313179016113,4725
98,0.21319939196109772,0.20443223416805267,0.04172130301594734,0.0,0.11483824253082275,4794
99,0.17948199808597565,0.23081110417842865,0.045744966715574265,0.0,0.11400952190160751,4862
100,0.18076550960540771,0.22434000670909882,0.04408235475420952,0.0,0.11229696869850159,4931
101,0.183247908949852,0.20353402197360992,0.04175804182887077,0.0,0.10713499784469604,4995
102,0.1699189692735672,0.17158818244934082,0.042708870023489,0.0,0.09605401009321213,5052
103,0.16374729573726654,0.183981791138649,0.04757966473698616,0.0,0.09882719069719315,5111
104,0.17234008014202118,0.1503152996301651,0.04281369969248772,0.0,0.09136727452278137,5168
105,0.15831105411052704,0.1400168538093567,0.04518686234951019,0.0,0.08587870001792908,5221
106,0.19582895934581757,0.15999506413936615,0.04406658932566643,0.005161101929843426,0.10126292705535889,5286
107,0.18701110780239105,0.16642604768276215,0.04388752579689026,0.0,0.09933117032051086,5350
108,0.18661238253116608,0.2319885939359665,0.04574929550290108,0.0,0.11608756333589554,5421
109,0.177944615483284,0.1575687676668167,0.04883551225066185,0.0,0.09608721733093262,5480
110,0.18226909637451172,0.22476725280284882,0.04600800201296806,0.0,0.11326109617948532,5550
111,0.18211545050144196,0.1775364875793457,0.04178375005722046,0.0,0.10035892575979233,5613
112,0.18569712340831757,0.21349000930786133,0.0490039698779583,0.0,0.11204776912927628,5681
113,0.18161998689174652,0.19406908750534058,0.04598338529467583,0.0,0.10541810840368271,5745
114,0.1656360626220703,0.19395935535430908,0.049122218042612076,0.0,0.10217940807342529,5805
115,0.2006143182516098,0.21278251707553864,0.050688933581113815,0.0,0.11602144688367844,5876
116,0.18686209619045258,0.24241159856319427,0.04237419366836548,0.0,0.11791197210550308,5948
117,0.18051272630691528,0.2444547414779663,0.0492246113717556,0.007733360398560762,0.12048134952783585,6020
118,0.1884886622428894,0.22437436878681183,0.0499974749982357,0.007407807279378176,0.11756706982851028,6089
119,0.1990332156419754,0.20938658714294434,0.04708096385002136,0.0,0.11387520283460617,6158
120,0.1871587485074997,0.21647274494171143,0.04253054037690163,0.0,0.11154051870107651,6225
