compound_id,name,cas,smiles,phototoxic,endpoint,photochem_label,photochem_evidence_count,photochem_agrees
39,Octyl methoxycinnamate,5466-77-3,CCCCC(CC)COC(=O)/C=C/c1ccc(OC)cc1,0,3T3 NRU phototoxicity,0.0,5,True
40,"Bicyclo[2.2.1]​heptan-​2-​one, 1,​7,​7-​trimethyl-​3-​(phenylmethylene)​-​, (1R,​4S)​-",36065-09-5,CC1(C)[C@@H]2CC[C@@]1(C)C(=O)/C2=C\c1ccccc1,0,3T3 NRU phototoxicity,,0,
41,Hexachlorophene,70-30-4,Oc1c(Cl)cc(Cl)c(Cl)c1Cc1c(O)c(Cl)cc(Cl)c1Cl,0,3T3 NRU phototoxicity,1.0,4,False
42,R016-8554,,COC(=O)c1cc(-c2ccccc2)c(=O)n2ccccc12,1,3T3 NRU phototoxicity,,0,
43,R017-3271,,COC(=O)c1cc(-c2ccccc2)c(=O)n2ccc3c4ccccc4[nH]c3c12,1,3T3 NRU phototoxicity,,0,
44,R065-1254,,COCCN(CCOC)C(=O)c1cc(-c2ccc(OCc3ccccc3)cc2)c(=O)n2ccc3ccsc3c12,1,3T3 NRU phototoxicity,,0,
45,R065-2822,,COCCN(CC1CC1)C(=O)c1cc(-c2ccc(OCc3ccccc3)cc2)c(=O)n2ccc3ccsc3c12,1,3T3 NRU phototoxicity,,0,
46,R065-2996,,COCCN(C(=O)c1c(Cc2cccc(OC)c2)cc(=O)n2ccc3ccsc3c12)c1ccccc1,1,3T3 NRU phototoxicity,,0,
47,R012-9786,,CCOC(=O)c1ccc2c3sccc3ccn2c1=O,1,3T3 NRU phototoxicity,,0,
48,R019-5686,,COCC1CCCN1C(=O)c1cc(-c2ccccc2)c(=O)n2ccc3ccsc3c12,1,3T3 NRU phototoxicity,,0,
49,R019-8022,,O=C(c1cc(-c2ccccc2)c(=O)n2ccc3ccc(Cl)cc3c12)N1CCCC1CO,1,3T3 NRU phototoxicity,,0,
50,R065-8275,,COCCN(CC1CC1)C(=O)c1cc(-c2ccccc2OC)c(=O)n2ccc3ccsc3c12,1,3T3 NRU phototoxicity,,0,
51,Bay-y3118,,O=C(O)c1cn(C2CC2)c2c(Cl)c(N3C[C@@H]4CCCN[C@@H]4C3)c(F)cc2c1=O,1,3T3 NRU phototoxicity,,0,
52,Tetracycline,60-54-8,CN(C)[C@@H]1C(=O)C(C(=N)O)=C(O)[C@@]2(O)C(=O)C3=C(O)c4c(O)cccc4[C@@](C)(O)[C@H]3C[C@@H]12,0,3T3 NRU phototoxicity,1.0,5,False
53,6a,,NCc1ccc(C2CCCCC2O)cc1C(F)(F)F,0,3T3 NRU phototoxicity,,0,
