seed,step,mean_reward,photoswitch_fraction,archive
1701,1,0.0,0.0,0
1701,2,0.0,0.0,0
1701,3,0.0,0.0,0
1701,4,0.0,0.0,0
1701,5,0.00177947583142668,0.015625,1
1701,6,0.0,0.0,1
1701,7,0.0014670254895463586,0.015625,2
1701,8,0.002293400000780821,0.015625,3
1701,9,0.0,0.0,3
1701,10,0.006443600635975599,0.0625,7
1701,11,0.008359437808394432,0.078125,12
1701,12,0.015445760451257229,0.1875,21
1701,13,0.023217247799038887,0.25,33
1701,14,0.03166911005973816,0.296875,51
1701,15,0.060185953974723816,0.546875,84
1701,16,0.06926879286766052,0.78125,119
1701,17,0.06203717738389969,0.671875,154
1701,18,0.06765986233949661,0.734375,189
1701,19,0.0747385174036026,0.78125,229
1701,20,0.06860611587762833,0.734375,264
1701,21,0.06744211167097092,0.8125,299
1701,22,0.06985452026128769,0.78125,336
1701,23,0.07331086695194244,0.84375,374
1701,24,0.05800987035036087,0.75,405
1701,25,0.07605703920125961,0.828125,446
1701,26,0.07998010516166687,0.84375,490
1701,27,0.07995836436748505,0.8125,536
1701,28,0.08035779744386673,0.8125,582
1701,29,0.08017274737358093,0.890625,628
1701,30,0.08613265305757523,0.890625,674
1701,31,0.08611364662647247,0.84375,724
1701,32,0.08001577854156494,0.8125,772
1701,33,0.08982813358306885,0.859375,826
1701,34,0.07747111469507217,0.78125,871
1701,35,0.08147351443767548,0.8125,917
1701,36,0.07848883420228958,0.765625,961
1701,37,0.0854426696896553,0.796875,1009
1701,38,0.08902591466903687,0.875,1061
1701,39,0.09465374052524567,0.875,1115
1701,40,0.08371945470571518,0.796875,1163
1702,1,0.0,0.0,0
1702,2,0.0,0.0,0
1702,3,0.0,0.0,0
1702,4,0.0,0.0,0
1702,5,0.0,0.0,0
1702,6,0.0,0.0,0
1702,7,0.0,0.0,0
1702,8,0.0,0.0,0
1702,9,0.0,0.0,0
1702,10,0.001495779026299715,0.015625,1
1702,11,0.0013524048263207078,0.015625,2
1702,12,0.0,0.0,2
1702,13,0.0,0.0,2
1702,14,0.0005784748937003314,0.015625,3
1702,15,0.0019223004346713424,0.015625,4
1702,16,0.0015029096975922585,0.015625,5
1702,17,0.0,0.0,5
1702,18,0.005111174192279577,0.046875,8
1702,19,0.001904876553453505,0.015625,9
1702,20,0.0061528561636805534,0.0625,13
1702,21,0.006742461584508419,0.0625,17
1702,22,0.01271748822182417,0.140625,26
1702,23,0.004023214802145958,0.046875,29
1702,24,0.0019423640333116055,0.015625,30
1702,25,0.012787693180143833,0.140625,39
1702,26,0.012503819540143013,0.140625,48
1702,27,0.0158466137945652,0.1875,58
1702,28,0.018161717802286148,0.171875,69
1702,29,0.025589901953935623,0.265625,86
1702,30,0.027723245322704315,0.25,102
1702,31,0.05296814441680908,0.484375,132
1702,32,0.04992588609457016,0.484375,163
1702,33,0.06077559292316437,0.546875,197
1702,34,0.06468601524829865,0.625,236
1702,35,0.07352005690336227,0.6875,280
1702,36,0.0921761617064476,0.859375,333
1702,37,0.08402497321367264,0.78125,380
1702,38,0.08051036298274994,0.828125,424
1702,39,0.09093114733695984,0.875,474
1702,40,0.08528528362512589,0.84375,520
1703,1,0.0,0.0,0
1703,2,0.0,0.0,0
1703,3,0.0,0.0,0
1703,4,0.0,0.0,0
1703,5,0.0,0.0,0
1703,6,0.0,0.0,0
1703,7,0.0,0.0,0
1703,8,0.0,0.0,0
1703,9,0.0,0.015625,0
1703,10,0.005208044312894344,0.046875,3
1703,11,0.0,0.0,3
1703,12,0.0005361272487789392,0.015625,4
1703,13,0.003940125461667776,0.046875,7
1703,14,0.0037882113829255104,0.0625,10
1703,15,0.002079154597595334,0.015625,11
1703,16,0.0016439384780824184,0.015625,12
1703,17,0.005868647247552872,0.0625,16
1703,18,0.007854141294956207,0.0625,20
1703,19,0.0038261746522039175,0.046875,23
1703,20,0.011983743868768215,0.140625,31
1703,21,0.016517799347639084,0.15625,40
1703,22,0.032538991421461105,0.3125,59
1703,23,0.027452843263745308,0.28125,76
1703,24,0.049724459648132324,0.453125,103
1703,25,0.05052143335342407,0.515625,133
1703,26,0.05598744377493858,0.546875,166
1703,27,0.06255782395601273,0.625,201
1703,28,0.07254564762115479,0.734375,240
1703,29,0.07660824805498123,0.8125,284
1703,30,0.06606484949588776,0.734375,320
1703,31,0.08580104261636734,0.859375,366
1703,32,0.07696634531021118,0.8125,404
1703,33,0.07098595052957535,0.84375,441
1703,34,0.08083513379096985,0.90625,481
1703,35,0.07973503321409225,0.890625,518
1703,36,0.06817707419395447,0.84375,552
1703,37,0.08869628608226776,0.890625,599
1703,38,0.07933309674263,0.859375,639
1703,39,0.08180484920740128,0.859375,684
1703,40,0.08057012408971786,0.921875,727
